philosophy,name,time,description,,,,
Contemporary philosophy,Penelope Deutscher ,fl. 2014,,,,,
Contemporary philosophy,Heather Douglas ,born 1969,,,,,
Contemporary philosophy,Helene von Druskowitz ,1856–1918,,,,,
Contemporary philosophy,Raya Dunayevskaya ,1910–1987,,,,,
Contemporary philosophy,Divya Dwivedi,,,,,,
Contemporary philosophy,Dorothy Edgington ,born 1941,,,,,
Contemporary philosophy,Frances Egan ,fl. 2014,,,,,
Contemporary philosophy,Dorothy Emmet ,1904–2000,,,,,
Contemporary philosophy,Carla Fehr ,fl. 2014,,,,,
Contemporary philosophy,Carrie Figdor ,fl. 2014,,,,,
Contemporary philosophy,Gail Fine ,fl. 2014,,,,,
Contemporary philosophy,Juliet Floyd ,fl. 2014,,,,,
Contemporary philosophy,Philippa Foot ,1920–2010W C O,,,,,
Contemporary philosophy,Nancy Fraser ,born 1947,,,,,
Contemporary philosophy,Marilyn Frye ,born 1941,,,,,
Contemporary philosophy,Ann Garry ,fl. 2014,,,,,
Contemporary philosophy,Tamar Gendler ,born 1965,,,,,
Contemporary philosophy,Margaret Gilbert ,born 1942,,,,,
Contemporary philosophy,Mary Louise Gill ,fl. 2014,,,,,
Contemporary philosophy,Kathryn Gines ,fl. 2014,,,,,
Contemporary philosophy,Lydia Goehr ,fl. 2014,,,,,
Contemporary philosophy,Patricia Greenspan ,fl. 2014,,,,,
Contemporary philosophy,Celia Green ,born 1935,,,,,
Contemporary philosophy,Germaine Greer ,born 1939,,,,,
Contemporary philosophy,Marjorie Grene ,1910–2009,,,,,
Contemporary philosophy,Susan Haack ,born 1945W,,,,,
Contemporary philosophy,Ruth Hagengruber ,born 1958,,,,,
Contemporary philosophy,Käte Hamburger ,1896–1992, literary scholar,,,,
Contemporary philosophy,Donna Haraway ,born 1944,,,,,
Contemporary philosophy,Sandra Harding ,born 1935, feminist,,,,
Contemporary philosophy,Sally Haslanger ,fl. 2014,,,,,
Contemporary philosophy,Jane Heal ,born 1946,,,,,
Contemporary philosophy,Virginia Held ,born 1929,,,,,
Contemporary philosophy,Ágnes Heller ,1929–2019,,,,,
Contemporary philosophy,Jeanne Hersch ,1910–2000,,,,,
Contemporary philosophy,Mary Hesse ,1924–2016,,,,,
Contemporary philosophy,Pamela Hieronymi ,fl. 2014,,,,,
Contemporary philosophy,Jennifer Hornsby ,born 1951O,,,,,
Contemporary philosophy,Susan Hurley ,1954–2007,,,,,
Contemporary philosophy,Rosalind Hursthouse ,born 1943,,,,,
Contemporary philosophy,Luce Irigaray ,born 1930C O R,,,,,
Contemporary philosophy,Jenann Ismael ,fl. 2014,,,,,
Contemporary philosophy,Alison Jaggar ,fl. 2014,,,,,
Contemporary philosophy,Susan James ,born 1951,,,,,
Contemporary philosophy,Carrie Ichikawa Jenkins ,fl. 2014,,,,,
Contemporary philosophy,Barbara Johnson ,1947–2009,,,,,
Contemporary philosophy,Evelyn Fox Keller ,born 1936,,,,,
Contemporary philosophy,Patricia Kitcher ,born 1948,,,,,
Contemporary philosophy,Eva Kittay ,fl. 2014,,,,,
Contemporary philosophy,Martha Klein ,retired 2006,,,,,
Contemporary philosophy,Martha Kneale ,1909–2001,,,,,
Contemporary philosophy,Helen Knight ,1899–1984,,,,,
Contemporary philosophy,Sarah Kofman ,1934–1994,,,,,
Contemporary philosophy,Christine Korsgaard ,born 1952,,,,,
Contemporary philosophy,Julia Kristeva ,born 1941C O R,,,,,
Contemporary philosophy,İoanna Kuçuradi ,born 1936,,,,,
Contemporary philosophy,Jennifer Lackey ,fl. 2014,,,,,
Contemporary philosophy,Susanne Langer ,1895–1985O R W,,,,,
Contemporary philosophy,Rae Langton ,born 1961,,,,,
Contemporary philosophy,Thelma Z. Lavine ,1915–2011,,,,,
Contemporary philosophy,Michèle Le Dœuff ,born 1948O R,,,,,
Contemporary philosophy,Hilde Lindemann ,fl. 2014,,,,,
Contemporary philosophy,Genevieve Lloyd ,born 1941,,,,,
Contemporary philosophy,Elisabeth Lloyd,,,,,,
Contemporary philosophy,Sharon Lloyd ,fl. 2014,,,,,
Contemporary philosophy,Helen Longino ,born 1944,,,,,
Contemporary philosophy,Béatrice Longuenesse ,born 1950,,,,,
Contemporary philosophy,Penelope Maddy ,born 1950,,,,,
Contemporary philosophy,Ruth Barcan Marcus ,1921–2012C O,,,,,
Contemporary philosophy,Noëlle McAfee ,fl. 2014,,,,,
Contemporary philosophy,Alison McIntyre ,fl. 2014,,,,,
Contemporary philosophy,Margaret MacDonald ,1907–1956,,,,,
Contemporary philosophy,Fiona Macpherson ,born 1971,,,,,
Contemporary philosophy,Mary Kate McGowan ,fl. 2014,,,,,
Contemporary philosophy,Susan Mendus ,born 1951,,,,,
Contemporary philosophy,Christia Mercer ,fl. 2014,,,,,
Contemporary philosophy,Mary Midgley ,1919–2018W,,,,,
Contemporary philosophy,Ruth Millikan ,born 1933O,,,,,
Contemporary philosophy,Michele Moody-Adams,,,,,,
Contemporary philosophy,Iris Murdoch ,1919–1999O W,,,,,
Contemporary philosophy,Nancey Murphy ,born 1951,,,,,
Contemporary philosophy,Constance Naden ,1858–1889, poet and philosopher,,,,
Contemporary philosophy,Jennifer Nagel ,graduated 1990,,,,,
Contemporary philosophy,Uma Narayan ,born 1958, Indian postcolonial feminist,,,,
Contemporary philosophy,Susan Neiman ,born 1955,,,,,
Contemporary philosophy,Karen Ng,,,,,,
Contemporary philosophy,Nel Noddings ,born 1929,,,,,
Contemporary philosophy,Kathryn Norlock ,born 1969,,,,,
Contemporary philosophy,Kathleen Nott ,1905–1999,,,,,
Contemporary philosophy,Martha Nussbaum ,born 1947C O,,,,,
Contemporary philosophy,Hilda D. Oakeley ,1867–1950,,,,,
Contemporary philosophy,Peg O'Connor ,born 1965,,,,,
Contemporary philosophy,Kelly Oliver ,born 1958,,,,,
Contemporary philosophy,Onora O'Neill ,born 1941O W,,,,,
Contemporary philosophy,Maria Ossowska ,1896–1974,,,,,
Contemporary philosophy,Adrian Piper,,,,,,
Contemporary philosophy,Ayn Rand ,1905–1982,,,,,
Contemporary philosophy,Janet Radcliffe Richards ,born 1944O,,,,,
Contemporary philosophy,Rosemary Radford Ruether ,born 1936,,,,,
Contemporary philosophy,Kate Raworth ,born 1970,,,,,
Contemporary philosophy,Yvanka B. Raynova ,born 1959,,,,,
Contemporary philosophy,Helena Roerich ,1879–1955,,,,,
Contemporary philosophy,Amélie Rorty ,1932–2020,,,,,
Contemporary philosophy,Renata Salecl ,born 1962,,,,,
Contemporary philosophy,Debra Satz ,fl. 2015,,,,,
Contemporary philosophy,Jennifer Saul ,fl. 2014,,,,,
Contemporary philosophy,Susanna Schellenberg ,born 1974,,,,,
Contemporary philosophy,Naomi Scheman ,fl. 2014,,,,,
Contemporary philosophy,Londa Schiebinger ,born 1952, feminist,,,,
Contemporary philosophy,Sally Scholz ,born 1968,,,,,
Contemporary philosophy,Ofelia Schutte ,born 1945,Professor Emerita of Philosophy at the University of South Florida,,,,
Contemporary philosophy,Lisa H. Schwartzman ,born 1969,,,,,
Contemporary philosophy,Gila Sher ,fl. 2014,,,,,
Contemporary philosophy,Nancy Sherman ,fl. 2014,,,,,
Contemporary philosophy,Seana Shiffrin ,fl. 2014,,,,,
Contemporary philosophy,Vandana Shiva ,born 1952, feminist,,,,
Contemporary philosophy,Laurie Shrage ,born 1953,,,,,
Contemporary philosophy,Susanna Siegel ,fl. 2014,,,,,
Contemporary philosophy,Alison Simmons ,born 1965,,,,,
Contemporary philosophy,Dorothy Smith ,born 1926,,,,,
Contemporary philosophy,Holly Martin Smith ,fl. 2014,,,,,
Contemporary philosophy,Nancy Snow ,fl. 2014,,,,,
Contemporary philosophy,Miriam Solomon ,fl. 2014,,,,,
Contemporary philosophy,Gayatri Chakravorty Spivak ,born 1942,,,,,
Contemporary philosophy,Susanne Sreedhar ,fl. 2014,,,,,
Contemporary philosophy,Susan Stebbing ,1885–1943W,,,,,
Contemporary philosophy,Edith Stein ,1891–1942, pedagogue,,,,
Contemporary philosophy,Isabelle Stengers ,born 1949,,,,,
Contemporary philosophy,Helene Stöcker ,1869–1943," feminist, sexual reformer",,,,
Contemporary philosophy,Alison Stone ,born 1972,,,,,
Contemporary philosophy,Eleonore Stump ,born 1947, analytic thomist,,,,
Contemporary philosophy,Anita Superson ,fl. 2014,,,,,
Contemporary philosophy,Lisa Tessman,,,,,,
Contemporary philosophy,Amie Thomasson ,born 1968,,,,,
Contemporary philosophy,Judith Jarvis Thomson ,1929–2020W C O,,,,,
Contemporary philosophy,Valerie Tiberius ,fl. 2014,,,,,
Contemporary philosophy,Kate Tickel ,born 1981[5],,,,,
Contemporary philosophy,Lynne Tirrell ,fl. 2014,,,,,
Contemporary philosophy,Margaret Urban Walker ,fl. 2014,,,,,
Contemporary philosophy,Georgia Warnke ,fl. 2014,,,,,
Contemporary philosophy,"Mary Warnock, Baroness Warnock ",1924–2019O,,,,,
Contemporary philosophy,Simone Weil ,1909–1943, critical marxist,,,,
Contemporary philosophy,Elsie Whetnall ,1897–c.1998,,,,,
Contemporary philosophy,Jennifer Whiting ,fl. 2014,,,,,
Contemporary philosophy,Jessica Wilson ,fl. 2014,,,,,
Contemporary philosophy,Margaret Dauler Wilson ,1939–1998,,,,,
Contemporary philosophy,Charlotte Witt ,born 1951,,,,,
Contemporary philosophy,Monique Wittig ,1935–2003,,,,,
Contemporary philosophy,Susan Wolf ,born 1952,,,,,
Contemporary philosophy,Ursula Wolf ,born 1951,,,,,
Contemporary philosophy,Dorothy Maud Wrinch ,1894–1976,,,,,
Contemporary philosophy,Alison Wylie ,born 1954,,,,,
Contemporary philosophy,Naomi Zack ,fl. 2014,,,,,
Contemporary philosophy,Linda Trinkaus Zagzebski ,born 1946,,,,,
Contemporary philosophy,María Zambrano,,,,,,
Contemporary philosophy,Ewa Ziarek ,fl. 2014,,,,,
Contemporary philosophy,Alenka Zupančič ,born 1966,,,,,
Contemporary philosophy,Jan Zwicky ,born 1955,,,,,
